cut,sig_kills,bkg_kills,sig_remains,bkg_remains,CutEfficiency,AbsEfficiency,AbsPurity
displaced_track_cuts,0,0,933,5521986,1.0,0.1866,0.00016893240693915664
lambdac_mass_limit,7,2614716,925,147828,0.9924892703862661,0.185,0.006218361982615476
lambdac_vtx_chi2_ndof,21,140128,904,7700,0.9772972972972973,0.1808,0.10506741050674105
lambdac_vtx_chi2_distance,5,42,899,7658,0.9944690265486725,0.1798,0.10506018464415098
lambdac_vtx_dira,18,3498,881,4160,0.9799777530589544,0.1762,0.17476691132711764
lambdac_final_mass_cut,8,3287,873,873,0.9909194097616345,0.1746,0.5
xi_track_cuts,0,0,426,798256,1.0,0.0852,0.0005333787414765826
xi_mass,0,207502,259,11346,1.0,0.0518,0.02231796639379578
xi_vtx_chi2_ndof,91,9387,168,1959,0.6486486486486487,0.0336,0.07898448519040903
xi_vtx_chi2_distance,1,13,167,1946,0.9940476190476191,0.0334,0.07903454803596782
xi_vtx_dira,0,0,167,1946,1.0,0.0334,0.07903454803596782
xi_final_mass,0,1353,167,1235,1.0,0.0334,0.11911554921540657
